degree,a_lvl_req,a_lvl_extra,modules_y1,modules_y2,modules_y3,nr_applications,intake,ratio,home_fee,median_salary,satisfaction,explanation,work
BA Anthropology and Law,AAB,,"['LL141', 'AN100', 'AN101', 'LL142', 'LL108', 'LL100', 'LL150', 'LSE100']","['AN253', 'AN379', 'LL106', 'LL143', 'LL200']",['LL276'],250,20,13:1,"£9,535","£34,500",,,
BA Geography,AAA,,"['GY100', 'GY140', 'GY144', 'LSE100']","['GY245', 'GY246', 'GY212', 'GY204', 'GY206', 'GY207']",['GY350'],377,38,10:1,"£9,535","£35,000",,,
BA Social Anthropology,AAB,,"['AN100', 'AN101', 'AN102', 'LSE100']","['AN286', 'AN253', 'AN256', 'AN273', 'AN285', 'AN287', 'AN288', 'AN390']",['AN397'],232,30,8:1,"£9,535","£34,500",,,
BSc Accounting and Finance,AAA,with A in Mathematics,"['LSE100', 'AC105', 'AC106', 'ST107', 'FM101', 'EC1A3', 'EC1A5', 'EC1B3', 'EC1B5', 'MA107', 'MA108']","['AC205', 'AC206', 'FM210', 'FM211', 'FM214', 'FM215', 'EC2A3', 'EC2B3', 'EC2C3', 'EC2A5', 'EC2B5', 'EC2C3']","['AC331', 'AC311', 'FM310', 'FM311']",2283,140,16:1,"£9,535","£35,000",,,
BSc Actuarial Science,A*AA,with an A* in Mathematics,"['ST102', 'MA100', 'EC1A3', 'EC1B3', 'LSE100']","['ST206', 'ST216', 'MA221', 'MA222', 'ST226', 'ST227']","['ST302', 'ST301']",615,68,9:1,"£9,535","£36,500",,,
BSc Data Science,A*AA,with an A* in Mathematics,"['ST102', 'MA100', 'ST101', 'ST115', 'LSE100', 'AC102', 'AC103', 'EC1A3', 'EC1B3', 'FM101', 'MA102', 'MA103']","['ST206', 'ST211', 'ST207', 'MA214', 'MA222', 'MA102', 'MA203', 'MA221', 'EC2A3', 'EC2B3', 'EC2C3', 'EC2C4', 'FM214', 'FM215', 'LL210', 'LL220', 'MA103', 'MA203', 'MA208', 'MA210', 'MA213', 'MA221', 'ST205', 'ST216', 'ST226', 'ST227']","['ST310', 'ST311', 'ST312', 'ST300', 'ST301', 'ST302', 'ST304', 'ST308', 'ST314', 'ST326', 'ST330', 'ST300', 'ST301', 'ST302', 'ST303', 'ST304', 'ST307', 'ST308', 'ST313', 'ST314', 'ST326', 'ST327', 'ST330', 'ST300', 'ST301', 'ST302', 'ST303', 'ST304', 'ST307', 'ST308', 'ST313', 'ST314', 'ST326', 'ST327', 'ST330', 'MA301', 'MA316', 'MA320', 'MA324', 'MA330', 'MA333', 'EC2A3', 'EC2B3', 'EC2C3', 'EC2C4', 'FM214', 'FM215', 'FM310', 'FM311', 'FM321', 'FM322']",633,32,20:1,"£9,535","£36,500",,,
BSc Econometrics and Mathematical Economics,A*AA,with an A* in Mathematics,"['EC1P1', 'MA108', 'ST109', 'EC1A1', 'EC1B1', 'EC1C1', 'LSE100']","['EC2A1', 'EC2B1', 'EC2C1', 'EH238', 'FM214', 'FM215']","['EC319', 'EC333', 'EC336', 'EC337', 'EC311']",,,,"£9,535","£55,000",,,
BSc Economic History,AAA,including Economics or History,"['EH101', 'EC1A5', 'EC1B5', 'EH102', 'LSE100']",['EH237'],['EH390'],267,29,9:1,"£9,535","£35,000",,,
BSc Economic History and Geography,AAB,including Economics or History,"['EH101', 'GY100', 'GY140', 'LSE100', 'EC1A3', 'EC1A5', 'EC1B3', 'EC1B5']","['GY209', 'GY210', 'EH237']","['GY313', 'GY314', 'EH308', 'EH390']",175,6,29:1,"£9,535","£35,000",,,
BSc Economics,A*AA,with an A* in Mathematics,"['EC1P1', 'MA108', 'ST109', 'EC1A1', 'EC1B1', 'EC1C1', 'LSE100']","['EC2A1', 'EC2B1', 'EC2C1', 'EH238', 'FM214', 'FM215']",[],3731,225,17:1,"£9,535","£55,000",,,
BSc Economics and Data Science,A*AA,with an A* in Mathematics,"['EC1A3', 'EC1B3', 'MA100', 'ST102', 'ST101', 'ST115', 'LSE100']","['EC2A3', 'EC2B3', 'EC2C3', 'ST206', 'EC2C4', 'ST211', 'ST205', 'ST207', 'MA102', 'MA221', 'MG213', 'FM214', 'EC2C4', 'ST216', 'ST211', 'ST227', 'MA214', 'MA222', 'FM215']","['ST310', 'ST311', 'EC302', 'EC307', 'EC310', 'EC311', 'EC313', 'EC317', 'EC319', 'EC321', 'EC325', 'EC328', 'EC330', 'EC333', 'EC334', 'EC335', 'EC336', 'EC337', 'EC338', 'EC339', 'FM310', 'FM311', 'FM321', 'FM322', 'PH311', 'MA214', 'MA203', 'MA301', 'ST207', 'ST300', 'ST302', 'ST304', 'ST308', 'ST312', 'ST313', 'ST314', 'ST326']",,,,"£9,535","£36,500",,,
BSc Economics and Economic History,AAA,"including Economics or History, and an A in Mathematics","['EH101', 'MA107', 'ST107', 'EC1A3', 'EC1B3', 'EH102', 'LSE100']","['EC2A3', 'EC2B3', 'EC2C3', 'EC2C4', 'EH237']",['EH390'],434,38,11:1,"£9,535","£35,000",,,
BSc Environment and Sustainable Development,AAA,,"['GY120', 'GY121', 'GY100', 'LSE100']","['GY202', 'GY248', 'GY220']",[],206,8,26:1,"£9,535","£35,000",,,
BSc Environment and Sustainable Development with Economics,AAA,with an A in Mathematics,"['GY120', 'GY121', 'MA107', 'ST107', 'EC1A3', 'EC1B3', 'LSE100']","['GY220', 'GY222', 'EC2A3', 'EC2B3', 'EC2C3']",[],273,18,15:1,"£9,535","£35,000",,,
BSc Finance,A*AA,with an A* in Mathematics,"['FM100', 'EC1A3', 'EC1B3', 'ST102', 'FM102', 'MA108', 'LSE100', 'AC102', 'ST101']","['FM214', 'FM215', 'FM200', 'FM201', 'EC2A3', 'EC2C3', 'EC2C4', 'ST115']","['FM301', 'FM302', 'FM321', 'FM322', 'FM304', 'FM305']",1113,56,20:1,"£9,535","£65,000",,,
BSc Financial Mathematics and Statistics,A*AA,with an A* in Mathematics,"['EC1A3', 'EC1B3', 'ST102', 'MA100', 'MA103', 'LSE100']","['FM214', 'FM215', 'MA221', 'MA222', 'ST202', 'MA203', 'ST213']","['FM321', 'FM322', 'MA323', 'ST326', 'MA321', 'MA322', 'ST300', 'ST302']",494,29,17:1,"£9,535","£40,000",,,
BSc Geography with Economics,AAA,including an A in Mathematics,"['EC1A3', 'EC1B3', 'MA107', 'ST107', 'GY100', 'LSE100', 'GY103', 'GY121', 'GY144']","['EC2A3', 'GY209', 'GY210', 'GY245', 'GY247', 'EC2B3', 'EC2C3']","['GY313', 'GY314']",272,27,10:1,"£9,535","£35,000",,,
BSc International Relations,AAA,,"['IR100', 'IR101', 'LSE100', 'IR102', 'HY113', 'HY116']","['IR200', 'IR202', 'IR203', 'IR205', 'IR206']",[],758,50,15:1,"£9,535","£27,500",,,
BSc International Relations and Chinese,AAA,,"['IR100', 'LN115', 'IR102', 'LSE100', 'HY113', 'HY116', 'LN140', 'LN142']","['LN241', 'LN140', 'LN240', 'IR200', 'IR202', 'IR203', 'IR205', 'IR206']",[],111,9,12:1,"£9,535",,,,
BSc International Social and Public Policy,AAB,,"['SP100', 'SP101', 'SP111', 'SP112', 'LSE100']","['SP200', 'SP201', 'SP210']",['SP399'],253,23,11:1,"£9,535","£32,000",,,
BSc International Social and Public Policy with Economics,AAB,with an A in Mathematics,"['SP100', 'SP101', 'MA107', 'ST107', 'EC1A3', 'EC1B3', 'LSE100']","['SP200', 'SP201', 'EC2A3', 'EC2B3', 'EC2C3']","['SP399', 'EC325']",515,25,21:1,"£9,535","£32,000",,,
BSc International Social and Public Policy with Politics,AAB,,"['SP100', 'SP101', 'GV101', 'GV100', 'LSE100']","['SP200', 'SP201']",['SP399'],238,9,26:1,"£9,535","£32,000",,,
"BSc Language, Culture and Society",AAB,,"['SO100', 'SO110', 'LSE100', 'LN250', 'LN115']","['SO201', 'LN251', 'LN254', 'LN270']",[],213,15,14:1,"£9,535",,,,
BSc Management,AAA,including an A in Mathematics,"['AC102', 'AC103', 'FM101', 'EC1A3', 'EC1B3', 'MA107', 'ST107', 'MG104', 'MG105', 'LSE100']","['MG207', 'MG205', 'MG212', 'MG213', 'MG214']",['MG301'],2123,138,15:1,"£9,535","£35,500",,,
BSc Mathematics and Economics,A*AA,with an A* in Mathematics,"['EC1A3', 'EC1B3', 'MA100', 'ST102', 'MA103', 'LSE100']","['EC2A3', 'EC2B3', 'MA221', 'MA222', 'MA203', 'MA208', 'MA209', 'MA210', 'MA211', 'FM214', 'FM215', 'EC2C3', 'EC2C4', 'MA214']",[],765,60,13:1,"£9,535","£40,000",,,
BSc Mathematics with Data Science,A*AA,with an A* in Mathematics,"['EC1A3', 'ST101W', 'MA100', 'ST102', 'MA103', 'LSE100']","['MA214', 'MA221', 'MA222', 'MA203', 'MA208', 'MA209', 'MA210', 'MA211', 'ST207', 'ST202', 'ST206', 'MA209', 'MA210', 'MA211', 'ST207']","['MA316', 'MA320', 'MA333', 'MA324', 'MA310', 'ST311', 'ST313']",482,21,23:1,"£9,535","£40,000",,,
BSc Mathematics with Economics,A*AA,with an A* in Mathematics,"['EC1A3', 'EC1B3', 'MA100', 'ST102', 'MA103', 'LSE100']","['EC2A3', 'EC2B3', 'MA221', 'MA222', 'MA203', 'MA208', 'MA209', 'MA210', 'MA211', 'MA208', 'MA209', 'MA210', 'MA211', 'MA213', 'ST202', 'MA214']",[],380,37,10:1,"£9,535","£40,000",,,
"BSc Mathematics, Statistics and Business",A*AA,with an A* in Mathematics,"['ST102', 'MA100', 'EC1A3', 'LSE100', 'EC1B3', 'FM101', 'MA103', 'AC102', 'AC103', 'EC1B3', 'FM101', 'MA102', 'ST101']","['MA221', 'MA222', 'ST206', 'ST211', 'MA203', 'MA208', 'MA209', 'MA210', 'MA211', 'MA213', 'MA214', 'ST205', 'ST207', 'ST226', 'ST227', 'MA102', 'MA213', 'ST205', 'ST207', 'ST216', 'ST226', 'ST227', 'AC102', 'AC103', 'AC205', 'AC206', 'EC2A3', 'EC2B3', 'EC2C3', 'EC2C4', 'FM214', 'FM215']",[],721,43,17:1,"£9,535","£36,500",,,
BSc Philosophy and Economics,AAA,with an A in Mathematics,"['EC1A3', 'EC1B3', 'PH103', 'LSE100', 'MA107', 'ST107', 'PH111', 'MA108', 'PH112', 'PH105', 'MA100', 'ST102']","['EC2A3', 'EC2B3', 'EC2C3', 'EC2C4', 'PH111', 'PH112']",['PH311'],334,38,9:1,"£9,535","£36,500",,,
"BSc Philosophy, Logic and Scientific Method",AAA,,"['PH103', 'PH111', 'LSE100', 'PH105', 'PH112']",['PH201'],[],179,11,16:1,"£9,535","£36,500",,,
"BSc Philosophy, Politics and Economics",A*AA,with an A* in Mathematics,"['PH103', 'GV101', 'EC1A3', 'EC1B3', 'LSE100', 'ST107', 'MA107', 'ST107', 'MA108', 'MA100']","['GV100', 'EC241', 'PH111', 'EC2A3', 'EC2B3', 'ST102', 'GV249', 'EC2C3', 'EC2C4']",['PH344'],1094,39,28:1,"£9,535","£36,500",,,
BSc Politics,AAA,,"['GV100', 'GV101', 'LSE100']",[],['GV390'],308,33,9:1,"£9,535","£35,500",,,
BSc Politics and Economics,AAA,including Mathematics,"['GV100', 'GV101', 'EC1A3', 'EC1B3', 'MA107', 'ST107', 'LSE100']","['EC2A3', 'EC2B3', 'EC2C3', 'EC2C4']",['GV390'],898,59,15:1,"£9,535","£35,500",,,
BSc Politics and International Relations,AAA,,"['GV101', 'GV100', 'IR100', 'LSE100']","['IR200', 'IR202', 'IR203', 'IR205', 'IR206']","['GV390', 'IR398']",1112,37,30:1,"£9,535","£35,500",,,
BSc Politics and Philosophy,AAA,,"['GV100', 'GV101', 'PH103', 'PH111', 'LSE100', 'PH112', 'PH105']","['PH214', 'GV262', 'PH226', 'PH201']","['PH222', 'GV390', 'PH399']",319,33,10:1,"£9,535","£35,500",,,
BSc Psychological and Behavioural Science,A*AA,"including at least one of Biology, Chemistry, Physics, Mathematics, Psychology","['PB101', 'PB100', 'PB130', 'LSE100']","['PB230', 'PB200', 'PB201', 'PB202', 'PB204', 'PB205']","['PB310', 'PB300', 'DS202']",917,51,18:1,"£9,535","£39,000",,,
BSc Social Anthropology,AAB,,"['AN100', 'AN101', 'AN102', 'LSE100']","['AN286', 'AN253', 'AN256', 'AN273', 'AN285', 'AN287', 'AN288', 'AN390']",['AN397'],105,20,5:1,"£9,535","£34,500",,,
BSc Sociology,AAB,,"['SO100', 'SO110', 'SO102', 'LSE100']","['SO201', 'SO221']",['SO302'],528,36,15:1,"£9,535","£30,000",,,
LLB Bachelor of Laws,A*AA,,"['LL141', 'LL142', 'LL143', 'LL106', 'LL108', 'LL100', 'LL150', 'LSE100']","['LL276', 'LL200']",[],2964,170,17:1,"£9,535","£36,500",,,
