Module,Year,Optional/Compulsory,Units
EC1P1,1,0,0.5
EC1A1,1,0,0.5
ST109,1,0,0.5
EC1C1,1,0,0.5
MA108,1,1,0.5
EC1B1,1,1,0.5
MA100,1,1,1
OO,1,1,1
EC2A1,2,0,1
EC2B1,2,0,1
EC2C1,2,0,1
OO,2,1,1
EC302,3,1,1
EC307,3,1,1
EC310,3,1,1
EC311,3,1,1
EC313,3,1,1
EC317,3,1,1
EC319,3,1,1
EC321,3,1,1
EC325,3,1,1
EC328,3,1,0.5
EC330,3,1,1
EC333,3,1,1
EC334,3,1,0.5
EC335,3,1,0.5
EC336,3,1,0.5
EC337,3,1,0.5
EC338,3,1,0.5
EC339,3,1,0.5
FM214,3,1,0.5
FM215,3,1,0.5
FM310,3,1,0.5
FM311,3,1,0.5
FM321,3,1,0.5
FM322,3,1,0.5
PH311,3,1,1
OO,3,1,1
