Module,Year,Optional/Compulsory,Units
IR100,1,0,1
IR101,1,0,1
HY113,1,1,1
HY116,1,1,1
EH101,1,1,1
GV101,1,1,1
HY113,1,1,1
HY116,1,1,1
PH103,1,1,1
SO100,1,1,1
IR200,2,1,1
IR202,2,1,1
IR203,2,1,1
IR205,2,1,1
IR206,2,1,1
IR305,3,1,1
IR312,3,1,0.5
IR314,3,1,0.5
IR315,3,1,1
IR317,3,1,0.5
IR319,3,1,0.5
IR323,3,1,0.5
IR354,3,1,0.5
IR367,3,1,0.5
IR368,3,1,0.5
IR369,3,1,0.5
IR373,3,1,0.5
IR374,3,1,0.5
IR377,3,1,0.5
IR378,3,1,0.5
IR379,3,1,0.5
IR380,3,1,0.5
IR391,3,1,0.5
IR392,3,1,0.5
IR395,3,1,0.5
IR398,3,1,1
LL342,3,0,1
