Module,Year,Optional/Compulsory,Units
GV100,1,0,1
GV101,1,0,1
EC1A3,1,0,0.5
EC1B3,1,0,0.5
MA107,1,0,0.5
ST107,1,0,0.5
EC2A3,2,0,0.5
EC2B3,2,0,0.5
EC2C3,2,0,0.5
EC2C4,2,0,0.5
GV225,2,1,1
GV248,2,1,1
GV245,2,1,1
GV249,2,1,1
GV251,2,1,1
GV252,2,1,0.5
GV262,2,1,1
GV263,2,1,1
GV264,2,1,1
GV309,3,1,0.5
GV311,3,1,1
GV313,3,1,0.5
GV314,3,1,1
GV316,3,1,0.5
GV318,3,1,0.5
GV320,3,1,0.5
GV321,3,1,0.5
GV324,3,1,0.5
GV325,3,1,0.5
GV326,3,1,1
GV327,3,1,0.5
GV328,3,1,0.5
GV329,3,1,0.5
GV330,3,1,0.5
GV333,3,1,0.5
GV334,3,1,0.5
GV335,3,1,0.5
GC337,3,1,0.5
GV338,3,1,0.5
GV363,3,1,0.5
GV390,3,1,1
GV398,3,1,1
GV3L2,3,1,0.5
GV3L6,3,1,0.5
EC307,3,1,1
EC311,3,1,1
EC321,3,1,1
EC325,3,1,1
EC328,3,1,0.5
EC330,3,1,1
EC334,3,1,0.5
EC335,3,1,0.5
EC338,3,1,0.5
EC339,3,1,0.5
OO,3,1,1
OO,3,1,1
