department,code,year,marks,mean,sd,min,q10,q25,median,IQR,q75,q90,q95,max
Accounting,AC100,2019/20,116,76.9,9.2,45.0,65.0,72.8,79.0,10.5,83.2,86.0,87.0,91.0
Accounting,AC100,2020/21,145,67.4,10.4,32.0,54.0,61.0,69.0,14.0,75.0,79.0,81.0,85.0
Accounting,AC100,2021/22,114,65.8,15.6,0.0,47.3,58.0,68.0,19.0,77.0,81.7,85.7,88.0
Accounting,AC100,2022/23,112,63.9,15.7,0.0,48.0,55.0,66.0,19.2,74.2,80.0,83.4,90.0
Accounting,AC102,2019/20,524,86.8,10.3,35.0,76.0,83.0,90.0,11.0,94.0,96.0,97.0,99.0
Accounting,AC102,2020/21,575,72.6,13.2,0.0,56.0,66.0,74.0,16.0,82.0,87.0,89.0,98.0
Accounting,AC102,2021/22,525,57.3,14.4,9.0,40.0,47.0,58.0,21.0,68.0,75.0,80.0,94.0
Accounting,AC102,2022/23,582,68.4,17.1,4.0,45.0,58.0,72.0,23.0,81.0,87.9,90.0,98.0
Accounting,AC102,2023/24,542,74.0,18.0,8.0,46.1,66.0,80.0,21.0,87.0,92.0,94.0,100.0
Accounting,AC103,2019/20,316,79.5,10.1,41.0,66.5,75.0,80.0,12.0,87.0,93.0,95.0,98.0
Accounting,AC103,2020/21,365,71.2,12.5,20.0,51.0,63.0,74.0,18.0,81.0,85.0,86.0,89.0
Accounting,AC103,2021/22,274,54.6,13.1,22.0,40.0,45.0,53.0,17.0,62.0,73.0,77.7,91.0
Accounting,AC103,2022/23,209,57.4,13.1,19.0,41.8,50.0,57.0,16.0,66.0,73.2,79.0,88.0
Accounting,AC103,2023/24,244,57.8,13.1,12.0,40.0,50.0,59.5,17.0,67.0,74.0,77.8,88.0
Accounting,AC105,2023/24,115,70.5,9.6,37.0,59.4,66.0,71.0,10.5,76.5,82.0,85.3,90.0
Accounting,AC106,2023/24,115,59.4,10.2,0.0,47.0,55.5,60.0,9.5,65.0,70.0,72.3,77.0
Accounting,AC200,2019/20,145,63.2,6.6,46.0,54.4,58.0,64.0,9.0,67.0,71.0,73.0,81.0
Accounting,AC200,2020/21,123,60.7,8.1,45.0,48.2,55.5,61.0,11.5,67.0,70.8,73.0,76.0
Accounting,AC200,2021/22,154,56.6,11.5,0.0,45.0,51.0,57.0,12.0,63.0,70.0,73.0,84.0
Accounting,AC200,2022/23,121,60.1,10.1,0.0,50.0,54.0,61.0,13.0,67.0,71.0,72.0,81.0
Accounting,AC200,2023/24,121,57.0,12.5,0.0,47.0,51.0,58.0,13.0,64.0,70.0,73.0,85.0
Accounting,AC311,2020/21,113,71.6,5.2,50.0,67.0,68.0,72.0,7.0,75.0,78.0,79.0,85.0
Accounting,AC311,2021/22,122,68.8,3.1,61.0,65.0,66.2,69.0,4.8,71.0,73.0,74.0,76.0
Accounting,AC311,2022/23,133,69.0,3.3,55.0,65.0,67.0,70.0,4.0,71.0,72.0,73.0,76.0
Accounting,AC311,2023/24,106,62.0,11.4,0.0,48.5,55.0,64.5,15.0,70.0,73.5,76.0,80.0
Accounting,AC312,2020/21,128,68.0,8.9,45.0,57.0,61.0,68.0,14.0,75.0,79.3,82.0,86.0
Accounting,AC312,2021/22,122,66.1,7.4,47.0,57.0,61.0,67.0,9.0,70.0,76.0,78.0,83.0
Accounting,AC312,2022/23,127,64.5,7.0,41.0,57.0,60.0,65.0,10.0,70.0,72.0,74.0,80.0
Accounting,AC312,2023/24,116,62.2,8.5,40.0,50.0,57.0,64.0,11.0,68.0,70.0,72.0,80.0
Accounting,AC331,2020/21,166,68.1,10.5,32.0,54.5,63.0,68.0,13.0,76.0,81.0,84.0,90.0
Accounting,AC331,2021/22,140,63.0,8.7,37.0,53.9,57.8,62.0,10.2,68.0,74.1,78.0,91.0
Accounting,AC331,2022/23,154,57.6,12.9,20.0,40.0,48.0,58.0,18.0,66.0,73.0,79.0,89.0
Accounting,AC331,2023/24,125,61.0,11.1,0.0,48.0,55.0,62.0,13.0,68.0,73.0,75.0,83.0
Accounting,AC332,2020/21,168,55.7,10.2,25.0,44.7,50.0,56.0,13.0,63.0,70.0,71.0,76.0
Accounting,AC332,2021/22,60,59.6,11.7,30.0,44.0,51.0,61.5,16.2,67.2,73.1,75.0,83.0
Accounting,AC332,2022/23,66,60.8,12.6,0.0,48.0,56.0,62.0,12.0,68.0,74.5,77.0,79.0
Accounting,AC332,2023/24,63,62.8,8.6,41.0,51.2,57.0,62.0,13.0,70.0,73.8,76.0,81.0
Accounting,AC341,2020/21,114,65.6,3.5,54.0,61.0,64.0,66.0,4.0,68.0,70.0,70.0,76.0
Accounting,AC341,2021/22,96,65.4,4.4,55.0,59.0,63.0,66.0,5.0,68.0,70.0,72.5,76.0
Accounting,AC341,2022/23,74,67.9,4.2,60.0,63.0,65.0,68.0,5.0,70.0,73.7,76.0,82.0
Accounting,AC341,2023/24,65,65.7,9.8,0.0,60.4,64.0,66.0,6.0,70.0,74.0,75.0,79.0
Accounting,AC342,2022/23,128,65.8,5.2,50.0,60.0,62.0,66.0,8.0,70.0,72.3,74.0,75.0
Accounting,AC342,2023/24,88,65.9,6.5,49.0,57.0,61.8,67.0,8.5,70.2,74.0,76.0,82.0
Anthropology,AN100,2019/20,83,62.2,13.6,0.0,54.0,61.0,64.0,7.5,68.5,71.8,73.9,79.0
Anthropology,AN100,2020/21,100,62.0,12.2,0.0,56.0,60.0,64.0,7.0,67.0,71.0,72.0,77.0
Anthropology,AN100,2021/22,94,65.3,4.5,53.0,59.0,62.2,65.0,6.8,69.0,71.0,72.0,74.0
Anthropology,AN100,2022/23,124,62.5,11.4,0.0,56.0,60.0,64.5,8.0,68.0,70.7,72.0,76.0
Anthropology,AN100,2023/24,106,63.3,13.3,0.0,59.0,63.0,66.0,5.0,68.0,70.5,71.0,75.0
Anthropology,AN101,2019/20,57,68.0,9.2,9.0,63.0,65.0,70.0,7.0,72.0,75.0,76.0,77.0
Anthropology,AN101,2020/21,65,63.4,6.8,31.0,56.8,61.0,64.0,7.0,68.0,70.0,71.0,74.0
Anthropology,AN101,2021/22,60,65.2,5.7,49.0,58.0,61.0,66.0,8.0,69.0,73.0,74.0,75.0
Anthropology,AN101,2022/23,70,61.5,12.3,0.0,46.8,58.2,64.5,11.8,70.0,72.1,75.0,78.0
Anthropology,AN101,2023/24,74,60.6,7.3,35.0,53.3,58.0,61.0,7.0,65.0,68.7,70.0,73.0
Anthropology,AN102,2019/20,46,62.6,13.5,16.0,52.5,63.2,67.0,5.8,69.0,70.0,70.8,73.0
Anthropology,AN102,2020/21,43,66.2,4.9,46.0,61.0,65.0,67.0,4.0,69.0,71.0,71.0,71.0
Anthropology,AN102,2021/22,48,63.3,10.0,14.0,59.1,62.0,66.0,5.2,67.2,70.3,71.0,75.0
Anthropology,AN102,2022/23,57,64.9,5.5,41.0,61.6,64.0,65.0,4.0,68.0,71.0,71.0,73.0
Anthropology,AN102,2023/24,50,65.3,6.0,40.0,60.8,65.0,66.5,3.0,68.0,70.0,71.0,76.0
Anthropology,AN200,2019/20,68,66.6,4.7,55.0,61.0,64.0,67.0,6.0,70.0,72.0,74.0,78.0
Anthropology,AN200,2020/21,57,65.2,13.3,0.0,62.6,66.0,67.0,4.0,70.0,73.0,74.2,77.0
Anthropology,AN200,2021/22,73,63.9,9.9,0.0,53.4,60.0,66.0,9.0,69.0,72.0,74.0,78.0
Anthropology,AN200,2022/23,74,65.9,5.5,47.0,58.0,62.2,67.0,7.8,70.0,72.0,72.3,77.0
Anthropology,AN200,2023/24,70,66.4,6.0,47.0,59.8,63.0,67.0,7.0,70.0,74.0,75.0,78.0
Anthropology,AN205,2019/20,11,68.9,6.7,58.0,62.0,65.0,68.0,7.5,72.5,76.0,79.0,82.0
Anthropology,AN205,2022/23,16,65.2,7.8,53.0,58.0,59.5,63.0,13.5,73.0,76.5,78.0,78.0
Anthropology,AN223,2023/24,27,64.6,7.1,50.0,55.2,60.0,65.0,8.5,68.5,73.0,75.8,78.0
Anthropology,AN226,2019/20,66,66.7,6.9,50.0,58.0,61.2,68.0,10.8,72.0,74.0,75.0,85.0
Anthropology,AN226,2020/21,67,68.9,4.5,58.0,64.0,66.0,69.0,6.0,72.0,74.0,75.0,82.0
