Course,Mutually Exclusive Courses
DS101A,DS101W
DS101W,DS101A
DS105A,DS105W
DS105W,DS104A
DS202,ST201
EC1A3,EC1A5
EC1A5,EC1A3
EC1B5,EC1B3
EC1B3,EC1B5
EC2A3,"EC2A5,MG207"
EC2B3,EC2B5
EC2C3,MG205
EC2C4,MG205
EH204,"EH214,EH215"
EH207,"EH218,EH217"
EH214,EH204
EH215,EH204
EH217,EH207
EH218,EH207
FM210,FM214
FM214,FM210
FM211,FM215
FM213,FM212
FM214,FM210
FM215,FM211
FM321,ST330
FM322,ST330
IR312,SO309
MA100,"MA108,MA207,MA107"
MA102,MA103
MA103,MA102
MA107,"MA108,MA100"
MA108,"MA100,MA107,MA207"
MA207,"MA100,MA108"
MA324,MA334
MA334,MA324
MG205,"EC2C3,EC2C4"
MG207,"EC2A3,EC2A5"
MG303,MG307
MG307,MG303
SO203,SO243
SO208,SO248
SO210,SO240
SO224,SO244
SO240,SO210
SO243,SO203
SO248,SO208
SO308,SO348
SO309,IR312
SO348,SO308
ST102,"ST110,ST102,ST109"
ST107,"ST110,ST102,ST109"
ST109,"ST102,ST107"
ST110,"ST107,ST102"
ST201,"ST211,DS202"
ST205,ST307
ST211,ST201
ST307,"ST205,ST327"
ST309,ST310
ST310,ST309
ST327,ST307
ST330,"FM231,FM322"
